"id","name","abbreviations","alternatives"
"55f77266-23b0-456f-b348-5f0761972431","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Eugenio Garza Lagüera","{""ITESM, Campus Eugenio Garza Lagüera"",""ITESM, Campus Eugenio Garza Laguera""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Eugenio Garza Laguera""}"
"d5b9e8d3-71ec-4b78-9438-d1ea2bcc1f53","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Eugenio Garza Sada","{""ITESM, Campus Eugenio Garza Sada""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Eugenio Garza Sada""}"
"b1a9f55e-cdc5-4949-829b-0cb2f63459e3","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara","{""ITESM, Campus Guadalajara""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Guadalajara""}"
"8f674fef-4f26-4f03-a096-6f8468a84755","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Hidalgo","{""ITESM, Campus Hidalgo""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Hidalgo""}"
"da33ebd4-bc7c-4c3d-b5f8-e52330e8aa7a","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Irapuato","{""ITESM, Campus Irapuato""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Irapuato""}"
"40eabc31-b25e-4f63-b725-a58f900bd357","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Laguna","{""ITESM, Campus Laguna""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Laguna""}"
"14e71b1b-ae01-4fb7-903f-9bedc5176067","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus León","{""ITESM, Campus León"",""ITESM, Campus Leon""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Leon""}"
"5f9c05ec-37be-43c1-b6e5-810381d04ebb","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Morelia","{""ITESM, Campus Morelia""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Morelia""}"
"5d6a6dfc-4b6c-4478-ada6-b70a0d2a7620","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Obregón","{""ITESM, Campus Obregón"",""ITESM, Campus Obregon""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Obregon""}"
"f2511c6c-2c4c-479b-9462-7a1805f7c9d2","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Puebla","{""ITESM, Campus Puebla""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Puebla""}"
"b9d508b6-44ac-4516-92d7-4f3c9aa0039d","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Querétaro","{""ITESM, Campus Querétaro"",""ITESM, Campus Queretaro""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Queretaro""}"
"5a4defc0-5a08-4b66-8088-f916709b1782","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Saltillo","{""ITESM, Campus Saltillo""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Saltillo""}"
"b14d5f1b-da93-4c99-a9ad-ef351fbbdd4b","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus San Luis Potosí","{""ITESM, Campus San Luis Potosí"",""ITESM, Campus San Luis Potosi""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus San Luis Potosí""}"
"2bc8bec1-d2db-47a6-9431-e81f1a97c297","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Santa Catarina","{""ITESM, Campus Santa Catarina""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Santa Catarina""}"
"1936e44b-d09d-4a89-b1e9-df1c89378829","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Santa Fe","{""ITESM, Campus Santa Fe""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Santa Fe""}"
"41f14dc8-bba6-4b46-afca-c3c9a4da10bb","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Sinaloa","{""ITESM, Campus Sinaloa""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Sinaloa""}"
"2f614a8e-4d30-4958-8059-8db1fa015e4c","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Sonora","{""ITESM, Campus Sonora""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Sonora""}"
"30b2b59d-ce5c-4abb-ad57-1f7ceba9eacc","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Tampico","{""ITESM, Campus Tampico""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Tampico""}"
"58ac26cd-ca7a-4069-8bff-cc178169e653","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Toluca","{""ITESM, Campus Toluca""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Toluca""}"
"635e366f-e4f8-4f14-872a-d1c60cd9e689","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Valle Alto","{""ITESM, Campus Valle Alto""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Valle Alto""}"
